run,flat_displacement,sharp_displacement,total_displacement,final_train_loss,final_test_loss,generalization_gap
218,0.001234400668181479,0.2596128284931183,3.7364916801452637,1.0025670528411865,1.143006443977356,0.14043939113616943
219,0.0013704122975468636,0.27770039439201355,3.737323760986328,1.0016196966171265,1.1468234062194824,0.14520370960235596
220,0.0011923874262720346,0.2756521999835968,3.7140848636627197,1.0032503604888916,1.142949640750885,0.1396992802619934
221,0.0011851949384436011,0.29003870487213135,3.7364423274993896,1.0019783973693848,1.1424606442451477,0.14048224687576294
222,0.0012631607241928577,0.280210942029953,3.7393791675567627,1.0029999017715454,1.144856035709381,0.1418561339378357
223,0.00126015639398247,0.2906075716018677,3.733551263809204,1.0021384954452515,1.1415807604789734,0.13944226503372192
224,0.0014018729561939836,0.2836117148399353,3.7313942909240723,1.0028014183044434,1.1437658071517944,0.14096438884735107
225,0.0011581429280340672,0.278828889131546,3.7313621044158936,1.0013185739517212,1.1421592831611633,0.14084070920944214
226,0.001326121622696519,0.2844470739364624,3.7609710693359375,0.9997603893280029,1.1425126194953918,0.14275223016738892
227,0.0013217076193541288,0.28120359778404236,3.7441534996032715,1.0004061460494995,1.1436134576797485,0.14320731163024902
228,0.0011486588045954704,0.26395145058631897,3.7246437072753906,1.002500057220459,1.14484304189682,0.14234298467636108
229,0.0013453317806124687,0.2546995282173157,3.722193717956543,1.004226803779602,1.1458117961883545,0.14158499240875244
230,0.0012650627177208662,0.29224729537963867,3.735168218612671,1.0018517971038818,1.1445260047912598,0.14267420768737793
231,0.001060251728631556,0.26235219836235046,3.7577364444732666,1.0011677742004395,1.140766203403473,0.13959842920303345
232,0.0013438612222671509,0.27968376874923706,3.7256920337677,1.006098747253418,1.1519758701324463,0.14587712287902832
233,0.0012816484086215496,0.23653267323970795,3.7310433387756348,1.0023707151412964,1.14630126953125,0.1439305543899536
234,0.0012527273502200842,0.25886598229408264,3.7451372146606445,1.0013771057128906,1.1492904424667358,0.14791333675384521
235,0.0015149405226111412,0.24594168365001678,3.7464993000030518,1.0008028745651245,1.140123188495636,0.13932031393051147
236,0.0012778490781784058,0.2614479660987854,3.760923147201538,0.9984774589538574,1.1368854641914368,0.13840800523757935
237,0.0013284659944474697,0.2526305019855499,3.750006914138794,0.9998814463615417,1.137679100036621,0.13779765367507935
238,0.0014348214026540518,0.2641209065914154,3.7390501499176025,1.0020471811294556,1.1399148106575012,0.13786762952804565
239,0.001468596630729735,0.28953462839126587,3.7517175674438477,0.9989768266677856,1.1360957026481628,0.1371188759803772
240,0.0011483520502224565,0.2733822166919708,3.7463510036468506,1.0000474452972412,1.1465407013893127,0.14649325609207153
241,0.001316920854151249,0.27948197722435,3.7385618686676025,1.0017396211624146,1.1443763375282288,0.1426367163658142
242,0.001242846017703414,0.26172229647636414,3.73681640625,1.0038096904754639,1.1456981301307678,0.14188843965530396
243,0.0012703879037871957,0.2565290331840515,3.7593934535980225,1.001766562461853,1.1463245749473572,0.14455801248550415
244,0.001273142290301621,0.2854638397693634,3.727384567260742,1.0044841766357422,1.1468573212623596,0.14237314462661743
245,0.000854837941005826,0.29244548082351685,3.7329277992248535,1.0028871297836304,1.1486433148384094,0.14575618505477905
